                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1576,                 5.6562,                 1.1949,                0.00048,                0.23106,                 0.1934,                0.06444,                0.47323,                 203.82,                0.35495,                0.00064,                0.00064,                0.00064
                      2,                 1.2202,                 4.0709,                 1.2812,                0.15285,                0.09091,                0.09198,                0.02614,                0.73583,                 188.44,                  0.529,              0.0012871,              0.0012871,              0.0012871
                      3,                 1.1542,                 3.2379,                 1.2913,                0.04293,                0.02462,                0.01451,                0.00397,                0.89045,                 264.05,                0.77029,              0.0019212,              0.0019212,              0.0019212
                      4,                 1.2292,                 2.8786,                  1.329,                0.06499,                0.03977,                0.01348,                0.00341,                0.62122,                 108.58,                0.53979,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2092,                 2.5212,                 1.2981,                0.12662,                0.04356,                  0.037,                0.00749,                0.57367,                 71.573,                0.51712,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1033,                  1.791,                 1.3037,                0.16604,                0.04167,                0.03922,                 0.0094,                0.67451,                 98.008,                0.65083,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1733,                  1.544,                 1.2952,                0.19869,                0.02273,                0.02135,                 0.0047,                0.50216,                 26.362,                0.45603,               0.001901,               0.001901,               0.001901
                      8,                 1.1037,                 1.4736,                 1.2493,                0.15894,                0.01894,                0.01943,                 0.0062,                 0.5218,                 16.573,                0.47196,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1944,                 1.5429,                 1.3015,                 0.1855,                0.01894,                 0.0157,                 0.0043,                0.49123,                 17.635,                0.43919,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1807,                 1.1976,                 1.3124,                0.18092,                0.02083,                0.01929,                 0.0039,                0.49027,                 8.6951,                0.43523,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1237,                 1.1589,                 1.2898,                0.17164,                0.03977,                0.03531,                0.00997,                0.48681,                 10.499,                0.42877,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0731,                 1.1889,                 1.2102,                0.20098,                0.06629,                0.06609,                 0.0184,                0.46563,                 5.0941,                0.43589,               0.001802,               0.001802,               0.001802
                     13,                 1.0446,                 1.0861,                 1.2241,                0.18262,                0.08902,                0.07876,                0.02275,                0.50052,                  5.078,                0.45151,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0057,                0.99232,                  1.185,                0.15989,                0.14394,                0.10971,                0.02589,                0.50565,                 4.8463,                0.44779,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0958,                 1.0516,                  1.217,                0.19814,                0.17614,                0.16359,                0.03808,                0.47653,                 7.5862,                0.44539,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0245,                0.96346,                 1.1813,                0.20676,                0.17207,                0.16532,                0.04464,                0.45063,                 4.9913,                0.41731,              0.0017228,              0.0017228,              0.0017228
                     17,                0.98883,                0.88498,                 1.1471,                0.20162,                0.20521,                0.19355,                0.04824,                0.42279,                 4.0971,                 0.4078,               0.001703,               0.001703,               0.001703
                     18,                0.97637,                0.92967,                 1.1587,                0.19633,                0.19398,                0.17537,                0.05302,                0.44108,                 1.3628,                0.40653,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0026,                 0.9666,                 1.1694,                0.19964,                0.18939,                0.17212,                0.04275,                0.41471,                 1.9707,                0.39674,              0.0016634,              0.0016634,              0.0016634
                     20,                0.92226,                 0.8621,                  1.152,                0.20319,                 0.1973,                 0.1826,                0.05085,                0.39578,                0.93154,                0.39467,              0.0016436,              0.0016436,              0.0016436
                     21,                0.87652,                 0.8169,                 1.1036,                0.20613,                0.20465,                0.18742,                0.06545,                0.44844,                 1.1227,                0.42446,              0.0016238,              0.0016238,              0.0016238
                     22,                0.90848,                0.89058,                 1.1695,                0.21305,                0.20752,                0.19552,                0.05376,                0.41737,                  1.471,                  0.391,               0.001604,               0.001604,               0.001604
                     23,                0.96703,                0.76888,                 1.1583,                0.21186,                0.21212,                0.20332,                0.05615,                 0.4636,                 2.4576,                0.42955,              0.0015842,              0.0015842,              0.0015842
                     24,                0.94002,                0.76766,                 1.1919,                0.20711,                0.20455,                0.19418,                0.07549,                0.40309,                0.81124,                0.39422,              0.0015644,              0.0015644,              0.0015644
